timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1498113688658,66,HTTP Request,200,OK,Thread Group 1-7,text,true,,2781,116,7,7,66,0,29
1498113688560,165,HTTP Request,200,OK,Thread Group 1-6,text,true,,2781,116,7,7,165,0,111
1498113688128,604,HTTP Request,200,OK,Thread Group 1-1,text,true,,2781,116,7,7,604,0,543
1498113688728,2,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-6,text,false,,2174,0,7,7,0,0,0
1498113688731,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-7,text,false,,2174,0,7,7,0,0,0
1498113688254,472,HTTP Request,200,OK,Thread Group 1-3,text,true,,2781,116,7,7,472,0,417
1498113688150,575,HTTP Request,200,OK,Thread Group 1-2,text,true,,2781,116,7,7,575,0,521
1498113688732,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-1,text,false,,2174,0,7,7,0,0,0
1498113688354,371,HTTP Request,200,OK,Thread Group 1-4,text,true,,2781,116,7,7,371,0,317
1498113688733,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-3,text,false,,2174,0,7,7,0,0,0
1498113688733,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-2,text,false,,2174,0,7,7,0,0,0
1498113688734,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-4,text,false,,2174,0,7,7,0,0,0
1498113688458,268,HTTP Request,200,OK,Thread Group 1-5,text,true,,2781,116,7,7,268,0,213
1498113688735,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-5,text,false,,2174,0,7,7,0,0,0
1498113688732,63,HTTP Request,200,OK,Thread Group 1-7,text,true,,2781,116,8,8,63,0,30
1498113688735,63,HTTP Request,200,OK,Thread Group 1-3,text,true,,2781,116,7,7,63,0,29
1498113688732,71,HTTP Request,200,OK,Thread Group 1-6,text,true,,2781,116,6,6,71,0,34
1498113688734,69,HTTP Request,200,OK,Thread Group 1-1,text,true,,2781,116,6,6,69,0,33
1498113688735,71,HTTP Request,200,OK,Thread Group 1-4,text,true,,2781,116,4,4,71,0,34
1498113688737,72,HTTP Request,200,OK,Thread Group 1-5,text,true,,2781,116,3,3,72,0,34
1498113688735,79,HTTP Request,200,OK,Thread Group 1-2,text,true,,2781,116,2,2,79,0,38
1498113688764,80,HTTP Request,200,OK,Thread Group 1-8,text,true,,2781,116,1,1,80,0,39
1498113688844,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-8,text,false,,2174,0,1,1,0,0,0
1498113688845,110,HTTP Request,200,OK,Thread Group 1-8,text,true,,2781,116,2,2,110,0,69
1498113688868,90,HTTP Request,200,OK,Thread Group 1-9,text,true,,2781,116,1,1,90,0,48
1498113688958,3,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-9,text,false,,2174,0,1,1,0,0,0
1498113688962,69,HTTP Request,200,OK,Thread Group 1-9,text,true,,2781,116,2,2,69,0,33
1498113688970,69,HTTP Request,200,OK,Thread Group 1-10,text,true,,2781,116,1,1,69,0,33
1498113689039,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.baidu.com:80 failed to respond,Thread Group 1-10,text,false,,2174,0,1,1,0,0,0
1498113689041,78,HTTP Request,200,OK,Thread Group 1-10,text,true,,2781,116,1,1,77,0,36
